# created by swatp-ghg
date        ch4_obd            ch4prods          ch4eps            ch4ebls            ch4e_tot          cont       
2022-06-03   1.3000000000E-02  4.6920767619E-01  2.4418304501E-01   6.2446896729E-04  2.4480751398E-01  flooding   
2022-06-10   7.4000000000E-02  2.2933351141E-01  1.1934876171E-01   3.0235729915E-04  1.1965111901E-01  flooding   
2022-06-17   9.2000000000E-02  5.4601664596E-01  2.8415563940E-01   7.2761081837E-04  2.8488325022E-01  flooding   
2022-06-22   2.2600000000E-01  9.7430986989E-01  5.0704616077E-01   1.3027383855E-03  5.0834889916E-01  flooding   
2022-06-24   1.8800000000E-01  9.6578816819E-01  5.0261133335E-01   1.2912951376E-03  5.0390262848E-01  flooding   
2022-06-29   3.6500000000E-01  1.1261083028E+00  5.8604444973E-01   1.5065787887E-03  5.8755102851E-01  flooding   
2022-07-01   3.3600000000E-01  1.0543707153E+00  5.4871108231E-01   1.4102469723E-03  5.5012132928E-01  flooding   
2022-07-05   4.0200000000E-01  1.2027339302E+00  6.2592162983E-01   1.6094744409E-03  6.2753110427E-01  flooding   
2022-07-08   5.1100000000E-01  1.2294189636E+00  6.3980894041E-01   1.6453080650E-03  6.4145424848E-01  flooding   
2022-07-12   6.1400000000E-01  1.2429829712E+00  6.4686786301E-01   1.6635223029E-03  6.4853138531E-01  flooding   
2022-07-15   5.0200000000E-01  1.1138212674E+00  5.7965008349E-01   1.4900793150E-03  5.8114016281E-01  flooding   
2022-07-19   4.8300000000E-01  9.8720935363E-01  5.1375925474E-01   1.3200602769E-03  5.1507931501E-01  flooding   
2022-07-22   4.9200000000E-01  9.7643992756E-01  5.0815467624E-01   1.3055987037E-03  5.0946027494E-01  flooding   
2022-07-26   4.9900000000E-01  9.8720935363E-01  5.1375925474E-01   1.3200602769E-03  5.1507931501E-01  flooding   
2022-08-01   6.7200000000E-01  1.1766288322E+00  6.1233612680E-01   1.5744195752E-03  6.1391054638E-01  flooding   
2022-08-04   5.5700000000E-01  1.2429829712E+00  6.4686786301E-01   1.6635223029E-03  6.4853138531E-01  flooding   
2022-08-05   5.4900000000E-01  1.8656078288E+00  9.7089161913E-01   2.4996053872E-03  9.7339122452E-01  flooding   
2022-08-09   5.5600000000E-01  1.2027339302E+00  6.2592162983E-01   1.6094744409E-03  6.2753110427E-01  flooding   
2022-08-12   5.2000000000E-01  1.0428674844E+00  5.4272462029E-01   1.3948000196E-03  5.4411942031E-01  flooding   
2022-08-16   6.1100000000E-01  1.1510910663E+00  5.9904587228E-01   1.5401265433E-03  6.0058599882E-01  flooding   
2022-08-19   4.0900000000E-01  1.0091064196E+00  5.2515483181E-01   1.3494644457E-03  5.2650429625E-01  flooding   
2022-08-23   4.6000000000E-01  1.0777597986E+00  5.6088312867E-01   1.4416546758E-03  5.6232478335E-01  flooding   
2022-08-26   3.2400000000E-01  8.7500977257E-01  4.5536883032E-01   1.1693946383E-03  4.5653822495E-01  flooding   
2022-06-03   2.3000000000E-04  6.1610659156E-01  3.2063154806E-01   8.2173012179E-04  3.2145327819E-01  irr_2wk    
2022-06-10   1.0000000000E-04  7.0271036609E-01  3.6570151270E-01   9.3802478949E-04  3.6663953749E-01  irr_2wk    
2022-06-17   7.2920000000E-02  7.9277763303E-01  4.1257393320E-01   1.0589703595E-03  4.1363290355E-01  irr_2wk    
2022-06-22   6.3780000000E-02  1.1896096835E+00  6.1909156569E-01   1.5918507298E-03  6.2068341642E-01  irr_2wk    
2022-06-24   1.7248000000E-01  5.6015608121E-01  2.9151402361E-01   7.4659776130E-04  2.9226062137E-01  irr_2wk    
2022-06-29   1.6196000000E-01  6.6729211114E-01  3.4726929648E-01   8.9046388106E-04  3.4815976036E-01  irr_2wk    
2022-07-01   1.5301000000E-01  4.7035803196E-01  2.4478170823E-01   6.2601370646E-04  2.4540772194E-01  irr_2wk    
2022-07-05   5.1240000000E-02  1.3275721787E+00  6.9088941530E-01   1.7771117374E-03  6.9266652704E-01  irr_2wk    
2022-07-12   1.4123000000E-01  1.4979045969E+00  7.7953308132E-01   2.0058402435E-03  7.8153892157E-01  irr_2wk    
2022-07-15   2.9546000000E-01  1.1016684801E+00  5.7332558208E-01   1.4737601145E-03  5.7479934219E-01  irr_2wk    
2022-07-19   2.8437000000E-01  1.0202367023E+00  5.3094720578E-01   1.3644105903E-03  5.3231161637E-01  irr_2wk    
2022-07-22   3.1862000000E-01  1.1385310693E+00  5.9250945255E-01   1.5232605270E-03  5.9403271308E-01  irr_2wk    
2022-07-26   3.4678000000E-01  1.2027339302E+00  6.2592162983E-01   1.6094744409E-03  6.2753110427E-01  irr_2wk    
2022-08-01   3.2468000000E-01  1.2294189636E+00  6.3980894041E-01   1.6453080650E-03  6.4145424848E-01  irr_2wk    
2022-08-04   2.5257000000E-01  1.4024496821E+00  7.2985684429E-01   1.8776599459E-03  7.3173450423E-01  irr_2wk    
2022-08-05   3.1844000000E-01  1.2705621537E+00  6.6122050282E-01   1.7005566226E-03  6.6292105944E-01  irr_2wk    
2022-08-09   3.4848000000E-01  1.2429829712E+00  6.4686786301E-01   1.6635223029E-03  6.4853138531E-01  irr_2wk    
2022-08-12   4.0282000000E-01  1.2845806574E+00  6.6851595235E-01   1.7193811742E-03  6.7023533352E-01  irr_2wk    
2022-08-16   3.5099000000E-01  1.2027339302E+00  6.2592162983E-01   1.6094744409E-03  6.2753110427E-01  irr_2wk    
2022-08-19   4.4669000000E-01  1.0777597986E+00  5.6088312867E-01   1.4416546758E-03  5.6232478335E-01  irr_2wk    
2022-08-23   6.5821000000E-01  1.2294189636E+00  6.3980894041E-01   1.6453080650E-03  6.4145424848E-01  irr_2wk    
2022-08-26   4.5859000000E-01  1.1896096835E+00  6.1909156569E-01   1.5918507298E-03  6.2068341642E-01  irr_2wk    
2022-08-30   2.9083000000E-01  8.2832349837E-01  4.3107255987E-01   1.1067026278E-03  4.3217926250E-01  irr_2wk    
2022-09-02   2.7884000000E-01  7.7558195717E-01  4.0362503337E-01   1.0358793866E-03  4.0466091276E-01  irr_2wk    
2022-09-07   2.3624000000E-01  7.5048659904E-01  3.9056501480E-01   1.0021804359E-03  3.9156719524E-01  irr_2wk    
2022-09-16   2.7154000000E-01  8.9441427843E-01  4.6546723998E-01   1.1954517077E-03  4.6666269168E-01  irr_2wk    
2022-09-19   2.6828000000E-01  9.3452610412E-01  4.8634206414E-01   1.2493153119E-03  4.8759137945E-01  irr_2wk    
2022-06-03   8.7270000000E-02  4.1799573112E-01  2.1753154436E-01   5.5569972293E-04  2.1808724409E-01  irr_3wk    
2022-06-10   3.4742000000E-01  2.1267634781E-01  1.1068011212E-01   2.7998945992E-04  1.1096010158E-01  irr_3wk    
2022-06-17   2.5937000000E-01  8.1929005849E-01  4.2637141586E-01   1.0945721993E-03  4.2746598806E-01  irr_3wk    
2022-06-22   4.6943000000E-01  1.0202367023E+00  5.3094720578E-01   1.3644105903E-03  5.3231161637E-01  irr_3wk    
2022-06-24   4.4561000000E-01  9.9809774624E-01  5.1942574528E-01   1.3346816027E-03  5.2076042689E-01  irr_3wk    
2022-06-29   8.2725000000E-01  1.1016684801E+00  5.7332558208E-01   1.4737601145E-03  5.7479934219E-01  irr_3wk    
2022-07-05   1.3656000000E-01  1.3130839498E+00  6.8334951341E-01   1.7576564218E-03  6.8510716984E-01  irr_3wk    
