# created by ghgpy
date        ch4_obd            ch4prods          ch4oxids          ch4es             cont       
2022-06-03   1.3000000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-10   7.4000000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-17   9.2000000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-22   2.2600000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-24   1.8800000000E-01  5.1258645411E-01  2.5654952028E-01  2.5603693383E-01  flooding   
2022-06-29   3.6500000000E-01  5.8305020536E-01  2.9181662778E-01  2.9123357758E-01  flooding   
2022-07-01   3.3600000000E-01  5.5819884514E-01  2.7937852199E-01  2.7882032315E-01  flooding   
2022-07-05   4.0200000000E-01  5.9970967035E-01  3.0015469001E-01  2.9955498034E-01  flooding   
2022-07-08   5.1100000000E-01  6.0353152187E-01  3.0206752670E-01  3.0146399517E-01  flooding   
2022-07-12   6.1400000000E-01  6.0513621938E-01  3.0287067780E-01  3.0226554158E-01  flooding   
2022-07-15   5.0200000000E-01  5.7948441900E-01  2.9003195171E-01  2.8945246729E-01  flooding   
2022-07-19   4.8300000000E-01  5.2524197710E-01  2.6288360954E-01  2.6235836756E-01  flooding   
2022-07-22   4.9200000000E-01  5.1901206527E-01  2.5976553867E-01  2.5924652660E-01  flooding   
2022-07-26   4.9900000000E-01  5.2524197710E-01  2.6288360954E-01  2.6235836756E-01  flooding   
2022-08-01   6.7200000000E-01  5.9504133850E-01  2.9781818992E-01  2.9722314858E-01  flooding   
2022-08-04   5.5700000000E-01  6.0513621938E-01  3.0287067780E-01  3.0226554158E-01  flooding   
2022-08-05   5.4900000000E-01  5.7572178098E-01  2.8814875138E-01  2.8757302960E-01  flooding   
2022-08-09   5.5600000000E-01  5.9970967035E-01  3.0015469001E-01  2.9955498034E-01  flooding   
2022-08-12   5.2000000000E-01  5.5325495417E-01  2.7690410456E-01  2.7635084961E-01  flooding   
2022-08-16   6.1100000000E-01  5.8949601787E-01  2.9504275695E-01  2.9445326093E-01  flooding   
2022-08-19   4.0900000000E-01  5.3708985522E-01  2.6881347254E-01  2.6827638268E-01  flooding   
2022-08-23   4.6000000000E-01  5.6740365832E-01  2.8398553099E-01  2.8341812733E-01  flooding   
2022-08-26   3.2400000000E-01  4.4726981565E-01  2.2385854274E-01  2.2341127292E-01  flooding   
2022-06-03   2.3000000000E-04  1.9851392811E-01  9.9356221020E-02  9.9157707092E-02  irr_2wk    
2022-06-10   1.0000000000E-04  2.8371769491E-01  1.4200070630E-01  1.4171698861E-01  irr_2wk    
2022-06-17   7.2920000000E-02  3.7359241686E-01  1.8698300464E-01  1.8660941222E-01  irr_2wk    
2022-06-22   6.3780000000E-02  5.9748337385E-01  2.9904042861E-01  2.9844294524E-01  irr_2wk    
2022-06-24   1.7248000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-06-29   1.6196000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-07-01   1.5301000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-07-05   5.1240000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-07-12   1.4123000000E-01  6.0703441962E-01  3.0382072702E-01  3.0321369260E-01  irr_2wk    
2022-07-15   2.9546000000E-01  5.7568834407E-01  2.8813201621E-01  2.8755632786E-01  irr_2wk    
2022-07-19   2.8437000000E-01  5.4269693926E-01  2.7161981810E-01  2.7107712116E-01  irr_2wk    
2022-07-22   3.1862000000E-01  5.8638684204E-01  2.9348661444E-01  2.9290022760E-01  irr_2wk    
2022-07-26   3.4678000000E-01  5.9970967035E-01  3.0015469001E-01  2.9955498034E-01  irr_2wk    
2022-08-01   3.2468000000E-01  6.0353152187E-01  3.0206752670E-01  3.0146399517E-01  irr_2wk    
2022-08-04   2.5257000000E-01  6.1102033100E-01  3.0581567566E-01  3.0520465533E-01  irr_2wk    
2022-08-05   3.1844000000E-01  6.0775838577E-01  3.0418307208E-01  3.0357531369E-01  irr_2wk    
2022-08-09   3.4848000000E-01  6.0513621938E-01  3.0287067780E-01  3.0226554158E-01  irr_2wk    
2022-08-12   4.0282000000E-01  6.0878675702E-01  3.0469777189E-01  3.0408898513E-01  irr_2wk    
2022-08-16   3.5099000000E-01  5.9970967035E-01  3.0015469001E-01  2.9955498034E-01  irr_2wk    
2022-08-19   4.4669000000E-01  5.6740365832E-01  2.8398553099E-01  2.8341812733E-01  irr_2wk    
2022-08-23   6.5821000000E-01  6.0353152187E-01  3.0206752670E-01  3.0146399517E-01  irr_2wk    
2022-08-26   4.5859000000E-01  5.9748337385E-01  2.9904042861E-01  2.9844294524E-01  irr_2wk    
2022-08-30   2.9083000000E-01  4.0686009838E-01  2.0363347924E-01  2.0322661914E-01  irr_2wk    
2022-09-02   2.7884000000E-01  3.5689202325E-01  1.7862445763E-01  1.7826756561E-01  irr_2wk    
2022-09-07   2.3624000000E-01  3.3199831966E-01  1.6616515899E-01  1.6583316067E-01  irr_2wk    
2022-09-16   2.7154000000E-01  4.6277946903E-01  2.3162112425E-01  2.3115834478E-01  irr_2wk    
2022-09-19   2.6828000000E-01  4.9220778065E-01  2.4634999421E-01  2.4585778643E-01  irr_2wk    
2022-06-03   8.7270000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-06-10   3.4742000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-06-17   2.5937000000E-01  3.9858753289E-01  1.9949306021E-01  1.9909447268E-01  irr_3wk    
2022-06-22   4.6943000000E-01  5.4269693926E-01  2.7161981810E-01  2.7107712116E-01  irr_3wk    
2022-06-24   4.4561000000E-01  5.3126982514E-01  2.6590054748E-01  2.6536927766E-01  irr_3wk    
2022-06-29   8.2725000000E-01  5.7568834407E-01  2.8813201621E-01  2.8755632786E-01  irr_3wk    
2022-07-05   1.3656000000E-01  6.1030697270E-01  3.0545863984E-01  3.0484833286E-01  irr_3wk    
2022-07-08   3.6840000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-07-12   2.5940000000E-01  6.0600881035E-01  3.0330740958E-01  3.0270140077E-01  irr_3wk    
2022-07-15   2.8992000000E-01  5.8305020536E-01  2.9181662778E-01  2.9123357758E-01  irr_3wk    
2022-07-19   2.8459000000E-01  5.7568834407E-01  2.8813201621E-01  2.8755632786E-01  irr_3wk    
2022-07-22   3.1753000000E-01  5.6740365832E-01  2.8398553099E-01  2.8341812733E-01  irr_3wk    
2022-07-26   4.3585000000E-01  5.7166141467E-01  2.8611653804E-01  2.8554487663E-01  irr_3wk    
2022-08-01   5.1456000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-04   5.0135000000E-01  6.0878675702E-01  3.0469777189E-01  3.0408898513E-01  irr_3wk    
2022-08-05   5.1766000000E-01  6.1081090078E-01  3.0571085584E-01  3.0510004494E-01  irr_3wk    
2022-08-09   5.9430000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-12   5.2389000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-16   6.4631000000E-01  6.0878675702E-01  3.0469777189E-01  3.0408898513E-01  irr_3wk    
2022-08-19   5.5986000000E-01  5.9748337385E-01  2.9904042861E-01  2.9844294524E-01  irr_3wk    
2022-08-23   5.8758000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-26   4.0751000000E-01  4.8507444844E-01  2.4277976145E-01  2.4229468700E-01  irr_3wk    
2022-08-30   3.8024000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-09-02   2.8171000000E-01  3.4026177648E-01  1.7030101913E-01  1.6996075735E-01  irr_3wk    
2022-09-07   6.1192000000E-01  3.4026177648E-01  1.7030101913E-01  1.6996075735E-01  irr_3wk    
2022-09-16   4.7348000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-09-19   4.6857000000E-01  4.6277946903E-01  2.3162112425E-01  2.3115834478E-01  irr_3wk    
2022-05-27  -1.4200000000E-03  9.0473602840E-02  4.5282038221E-02  4.5191564618E-02  irr_4wk    
2022-06-03   4.8100000000E-03  2.5333847925E-01  1.2679590886E-01  1.2654257038E-01  irr_4wk    
2022-06-10   4.7630000000E-02  3.5689202325E-01  1.7862445763E-01  1.7826756561E-01  irr_4wk    
2022-06-17   7.4210000000E-02  4.3134185628E-01  2.1588659907E-01  2.1545525721E-01  irr_4wk    
2022-06-22   1.7772000000E-01  5.5819884514E-01  2.7937852199E-01  2.7882032315E-01  irr_4wk    
2022-06-24   3.7506000000E-01  5.3126982514E-01  2.6590054748E-01  2.6536927766E-01  irr_4wk    
2022-06-29   5.4060000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-01   1.9861000000E-01  6.1030697270E-01  3.0545863984E-01  3.0484833286E-01  irr_4wk    
2022-07-05   1.7326000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-08   1.4849000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-12   1.4279000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-15   1.1699000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-19   1.0174000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-26   2.1412000000E-01  5.6740365832E-01  2.8398553099E-01  2.8341812733E-01  irr_4wk    
2022-08-01   2.5842000000E-01  6.0878675702E-01  3.0469777189E-01  3.0408898513E-01  irr_4wk    
2022-08-04   3.1526000000E-01  6.0952883332E-01  3.0506918108E-01  3.0445965225E-01  irr_4wk    
2022-08-05   3.2500000000E-01  6.1081090078E-01  3.0571085584E-01  3.0510004494E-01  irr_4wk    
2022-08-09   3.8562000000E-01  6.1126512155E-01  3.0593819333E-01  3.0532692821E-01  irr_4wk    
2022-08-12   3.2940000000E-01  5.9970967035E-01  3.0015469001E-01  2.9955498034E-01  irr_4wk    
2022-08-16   4.3418000000E-01  6.0654339768E-01  3.0357497054E-01  3.0296842714E-01  irr_4wk    
2022-08-19   3.9471000000E-01  5.9504133850E-01  2.9781818992E-01  2.9722314858E-01  irr_4wk    
2022-08-23   3.6503000000E-01  5.9748337385E-01  2.9904042861E-01  2.9844294524E-01  irr_4wk    
2022-08-26   3.0261000000E-01  5.9970967035E-01  3.0015469001E-01  2.9955498034E-01  irr_4wk    
