# created by ghgpy
date        ch4_obd            ch4prods          ch4oxids          ch4es             cont       
2022-06-03   1.3000000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-10   7.4000000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-17   9.2000000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-22   2.2600000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  flooding   
2022-06-24   1.8800000000E-01  1.0251729082E+00  5.1361162702E-01  5.1156128120E-01  flooding   
2022-06-29   3.6500000000E-01  1.1661004107E+00  5.8421630577E-01  5.8188410495E-01  flooding   
2022-07-01   3.3600000000E-01  1.1163976903E+00  5.5931524283E-01  5.5708244745E-01  flooding   
2022-07-05   4.0200000000E-01  1.1994193407E+00  6.0090908969E-01  5.9851025101E-01  flooding   
2022-07-08   5.1100000000E-01  1.2070630437E+00  6.0473858491E-01  6.0232445883E-01  flooding   
2022-07-12   6.1400000000E-01  1.2102724388E+00  6.0634649182E-01  6.0392594694E-01  flooding   
2022-07-15   5.0200000000E-01  1.1589688380E+00  5.8064338783E-01  5.7832545016E-01  flooding   
2022-07-19   4.8300000000E-01  1.0504839542E+00  5.2629246106E-01  5.2419149315E-01  flooding   
2022-07-22   4.9200000000E-01  1.0380241305E+00  5.2005008940E-01  5.1797404113E-01  flooding   
2022-07-26   4.9900000000E-01  1.0504839542E+00  5.2629246106E-01  5.2419149315E-01  flooding   
2022-08-01   6.7200000000E-01  1.1900826770E+00  5.9623142118E-01  5.9385125582E-01  flooding   
2022-08-04   5.5700000000E-01  1.2102724388E+00  6.0634649182E-01  6.0392594694E-01  flooding   
2022-08-05   5.4900000000E-01  1.1514435620E+00  5.7687322455E-01  5.7457033742E-01  flooding   
2022-08-09   5.5600000000E-01  1.1994193407E+00  6.0090908969E-01  5.9851025101E-01  flooding   
2022-08-12   5.2000000000E-01  1.1065099083E+00  5.5436146408E-01  5.5214844426E-01  flooding   
2022-08-16   6.1100000000E-01  1.1789920357E+00  5.9067500991E-01  5.8831702584E-01  flooding   
2022-08-19   4.0900000000E-01  1.0741797104E+00  5.3816403493E-01  5.3601567550E-01  flooding   
2022-08-23   4.6000000000E-01  1.1348073166E+00  5.6853846563E-01  5.6626885100E-01  flooding   
2022-08-26   3.2400000000E-01  8.9453963131E-01  4.4816435529E-01  4.4637527602E-01  flooding   
2022-06-03   2.3000000000E-04  3.9702785622E-01  1.9891095597E-01  1.9811690026E-01  irr_2wk    
2022-06-10   1.0000000000E-04  5.6743538982E-01  2.8428513030E-01  2.8315025952E-01  irr_2wk    
2022-06-17   7.2920000000E-02  7.4718483372E-01  3.7433960169E-01  3.7284523202E-01  irr_2wk    
2022-06-22   6.3780000000E-02  1.1949667477E+00  5.9867834060E-01  5.9628840710E-01  irr_2wk    
2022-06-24   1.7248000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-06-29   1.6196000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-07-01   1.5301000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-07-05   5.1240000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_2wk    
2022-07-12   1.4123000000E-01  1.2140688392E+00  6.0824848846E-01  6.0582035078E-01  irr_2wk    
2022-07-15   2.9546000000E-01  1.1513766881E+00  5.7683972076E-01  5.7453696738E-01  irr_2wk    
2022-07-19   2.8437000000E-01  1.0853938785E+00  5.4378233314E-01  5.4161154538E-01  irr_2wk    
2022-07-22   3.1862000000E-01  1.1727736841E+00  5.8755961572E-01  5.8521406836E-01  irr_2wk    
2022-07-26   3.4678000000E-01  1.1994193407E+00  6.0090908969E-01  5.9851025101E-01  irr_2wk    
2022-08-01   3.2468000000E-01  1.2070630437E+00  6.0473858491E-01  6.0232445883E-01  irr_2wk    
2022-08-04   2.5257000000E-01  1.2220406620E+00  6.1224237166E-01  6.0979829033E-01  irr_2wk    
2022-08-05   3.1844000000E-01  1.2155167715E+00  6.0897390254E-01  6.0654286900E-01  irr_2wk    
2022-08-09   3.4848000000E-01  1.2102724388E+00  6.0634649182E-01  6.0392594694E-01  irr_2wk    
2022-08-12   4.0282000000E-01  1.2175735140E+00  6.1000433054E-01  6.0756918351E-01  irr_2wk    
2022-08-16   3.5099000000E-01  1.1994193407E+00  6.0090908969E-01  5.9851025101E-01  irr_2wk    
2022-08-19   4.4669000000E-01  1.1348073166E+00  5.6853846563E-01  5.6626885100E-01  irr_2wk    
2022-08-23   6.5821000000E-01  1.2070630437E+00  6.0473858491E-01  6.0232445883E-01  irr_2wk    
2022-08-26   4.5859000000E-01  1.1949667477E+00  5.9867834060E-01  5.9628840710E-01  irr_2wk    
2022-08-30   2.9083000000E-01  8.1372019676E-01  4.0767381858E-01  4.0604637819E-01  irr_2wk    
2022-09-02   2.7884000000E-01  7.1378404649E-01  3.5760580729E-01  3.5617823920E-01  irr_2wk    
2022-09-07   2.3624000000E-01  6.6399663933E-01  3.3266231630E-01  3.3133432302E-01  irr_2wk    
2022-09-16   2.7154000000E-01  9.2555893805E-01  4.6370502796E-01  4.6185391009E-01  irr_2wk    
2022-09-19   2.6828000000E-01  9.8441556129E-01  4.9319219621E-01  4.9122336509E-01  irr_2wk    
2022-06-03   8.7270000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-06-10   3.4742000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-06-17   2.5937000000E-01  7.9717506577E-01  3.9938470795E-01  3.9779035782E-01  irr_3wk    
2022-06-22   4.6943000000E-01  1.0853938785E+00  5.4378233314E-01  5.4161154538E-01  irr_3wk    
2022-06-24   4.4561000000E-01  1.0625396503E+00  5.3233236479E-01  5.3020728549E-01  irr_3wk    
2022-06-29   8.2725000000E-01  1.1513766881E+00  5.7683972076E-01  5.7453696738E-01  irr_3wk    
2022-07-05   1.3656000000E-01  1.2206139454E+00  6.1152758664E-01  6.0908635875E-01  irr_3wk    
2022-07-08   3.6840000000E-02  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-07-12   2.5940000000E-01  1.2120176207E+00  6.0722082797E-01  6.0479679273E-01  irr_3wk    
2022-07-15   2.8992000000E-01  1.1661004107E+00  5.8421630577E-01  5.8188410495E-01  irr_3wk    
2022-07-19   2.8459000000E-01  1.1513766881E+00  5.7683972076E-01  5.7453696738E-01  irr_3wk    
2022-07-22   3.1753000000E-01  1.1348073166E+00  5.6853846563E-01  5.6626885100E-01  irr_3wk    
2022-07-26   4.3585000000E-01  1.1433228293E+00  5.7280473750E-01  5.7051809184E-01  irr_3wk    
2022-08-01   5.1456000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-04   5.0135000000E-01  1.2175735140E+00  6.1000433054E-01  6.0756918351E-01  irr_3wk    
2022-08-05   5.1766000000E-01  1.2216218016E+00  6.1203252258E-01  6.0958927897E-01  irr_3wk    
2022-08-09   5.9430000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-12   5.2389000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-16   6.4631000000E-01  1.2175735140E+00  6.1000433054E-01  6.0756918351E-01  irr_3wk    
2022-08-19   5.5986000000E-01  1.1949667477E+00  5.9867834060E-01  5.9628840710E-01  irr_3wk    
2022-08-23   5.8758000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-08-26   4.0751000000E-01  9.7014889688E-01  4.8604459734E-01  4.8410429955E-01  irr_3wk    
2022-08-30   3.8024000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-09-02   2.8171000000E-01  6.8052355297E-01  3.4094230004E-01  3.3958125293E-01  irr_3wk    
2022-09-07   6.1192000000E-01  6.8052355297E-01  3.4094230004E-01  3.3958125293E-01  irr_3wk    
2022-09-16   4.7348000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_3wk    
2022-09-19   4.6857000000E-01  9.2555893805E-01  4.6370502796E-01  4.6185391009E-01  irr_3wk    
2022-05-27  -1.4200000000E-03  1.8094720568E-01  9.0654550045E-02  9.0292655634E-02  irr_4wk    
2022-06-03   4.8100000000E-03  5.0667695849E-01  2.5384515621E-01  2.5283180229E-01  irr_4wk    
2022-06-10   4.7630000000E-02  7.1378404649E-01  3.5760580729E-01  3.5617823920E-01  irr_4wk    
2022-06-17   7.4210000000E-02  8.6268371256E-01  4.3220453999E-01  4.3047917256E-01  irr_4wk    
2022-06-22   1.7772000000E-01  1.1163976903E+00  5.5931524283E-01  5.5708244745E-01  irr_4wk    
2022-06-24   3.7506000000E-01  1.0625396503E+00  5.3233236479E-01  5.3020728549E-01  irr_4wk    
2022-06-29   5.4060000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-01   1.9861000000E-01  1.2206139454E+00  6.1152758664E-01  6.0908635875E-01  irr_4wk    
2022-07-05   1.7326000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-08   1.4849000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-12   1.4279000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-15   1.1699000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-19   1.0174000000E-01  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  irr_4wk    
2022-07-26   2.1412000000E-01  1.1348073166E+00  5.6853846563E-01  5.6626885100E-01  irr_4wk    
2022-08-01   2.5842000000E-01  1.2175735140E+00  6.1000433054E-01  6.0756918351E-01  irr_4wk    
2022-08-04   3.1526000000E-01  1.2190576666E+00  6.1074789099E-01  6.0830977566E-01  irr_4wk    
2022-08-05   3.2500000000E-01  1.2216218016E+00  6.1203252258E-01  6.0958927897E-01  irr_4wk    
2022-08-09   3.8562000000E-01  1.2225302431E+00  6.1248765179E-01  6.1004259130E-01  irr_4wk    
2022-08-12   3.2940000000E-01  1.1994193407E+00  6.0090908969E-01  5.9851025101E-01  irr_4wk    
2022-08-16   4.3418000000E-01  1.2130867954E+00  6.0775648448E-01  6.0533031089E-01  irr_4wk    
2022-08-19   3.9471000000E-01  1.1900826770E+00  5.9623142118E-01  5.9385125582E-01  irr_4wk    
2022-08-23   3.6503000000E-01  1.1949667477E+00  5.9867834060E-01  5.9628840710E-01  irr_4wk    
2022-08-26   3.0261000000E-01  1.1994193407E+00  6.0090908969E-01  5.9851025101E-01  irr_4wk    
